country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Afghanistan,30,205771,12409398,123,15339,376800,-361461,27986,41762,47255,34770,39928,23558,41092,19422,13779,13779,19743,9337,310,660,0,0,0,4893,3708,11409,6772,1913,3435,2636
Afghanistan,50,148417,9765465,134,12657,275855,-263199,25603,32691,40574,29020,30591,18396,34523,15953,10286,10360,17316,7853,200,458,0,0,0,3920,3343,10321,6045,1664,2530,2106
Afghanistan,75,75480,5571655,150,6147,151074,-144926,15780,15308,21452,12907,12834,7749,15977,6535,4957,4547,8626,4047,43,101,0,0,0,1962,1743,6451,2477,668,1857,1512
Albania,30,648459,40958831,238,721806,5103589,-4381783,1417747,348556,189361,1406600,287405,440565,1729900,1852558,588617,287044,357544,2171740,891429,456856,120041,334094,448993,724335,429556,427420,506228,649874,948758,308121
Albania,50,534671,37239867,263,682919,4294627,-3611709,1358272,338279,178044,1356424,274510,426871,1681136,1775659,570370,276206,336756,2066390,822959,429610,113553,304691,403366,669011,404887,391385,449937,591504,895138,275104
Albania,75,363706,28761196,298,576299,3001723,-2425424,1137609,302029,144824,1182729,231010,380399,1483354,1537117,502663,243934,287866,1765615,666267,362343,96384,246233,315085,525536,340193,323959,348866,454707,740235,212226
Algeria,30,1223325,64822106,313,1872312,4873094,-3000781,574332,629840,868395,959382,920879,1083437,982184,1568410,2226731,630061,1914290,2145388,1543294,1811470,1281104,1558776,7772718,1459887,1387405,2389009,3527428,2488017,4037606,1175433
Algeria,50,895366,50658903,334,1540229,3547408,-2007180,444098,510355,724189,788005,757835,890742,822193,1315103,1889070,537714,1695317,1852821,1196064,1402692,1013324,1239873,6677159,1150688,1065845,1877798,2835513,1997821,3337529,943747
Algeria,75,496534,31035068,366,952542,1988182,-1035640,250927,326671,463436,477682,471890,557169,524595,818613,1241526,359028,1220527,1297178,660451,769348,587676,733439,4402963,679350,568567,1073346,1608185,1099440,2085997,582973
Angola,30,55276135,2879806419,296,62402574,170616018,-108213442,39294740,21107943,17242314,22129963,28182145,23202229,49525640,31784460,53731022,53362065,58093241,59464120,57602652,73779150,57495258,81701513,96868314,89321456,63088356,86151528,119823559,103197478,104232196,107280459
Angola,50,31905173,2122729314,363,45923900,101338638,-55414739,34369236,17462554,13989343,16205956,19941178,16960366,37235289,21632988,37091002,42660897,39176037,43653161,41449934,55987890,43937291,59684153,67567265,66297358,45496249,58026532,93825842,76650248,77337662,75535156
Angola,75,3782933,420593649,572,15612930,21077527,-5464598,20729331,7787604,6310977,4377538,5215374,2833241,16307479,5912006,10513564,10966564,7800963,11878341,14769642,17664730,14670957,20147468,19336194,22869458,15532866,15854443,40592551,28316917,29544095,24778013
Argentina,30,39069969,1445657711,227,69947451,162781598,-92834148,32550580,25247897,48731735,86305031,79708051,73106104,86998552,133264861,70116286,95353374,109718859,113857152,87423807,61539541,44936972,59421005,65046697,45966268,41087636,51442894,63898345,75036462,66700844,61279857
Argentina,50,23100520,1109473686,288,55719734,102836384,-47116650,27144620,21394904,35290796,63509595,61785674,59319823,64429014,105600295,55696685,79268408,89417774,93877194,69168596,48561222,35584744,45620116,52730440,35680254,32470899,39832656,52608910,62328169,55548112,50404725
Argentina,75,10581387,690927102,364,32775664,48728096,-15952433,20329231,17126002,25266412,41385228,42411083,40885821,39729240,63935322,34831930,47210871,47185080,52802481,37844772,26404745,20250951,24850614,28358208,17014979,15776989,19690418,32194040,36765965,28079126,26286427
Australia,30,42281439,2535843436,378,94305549,205891865,-111586318,29028529,37627252,60829377,37490363,40910129,46006906,78773113,50594239,61106443,49032059,44322792,46782222,73837998,81045842,70507932,123641462,88814157,76876858,330570924,563980105,97868017,54730361,59980326,58975753
Australia,50,25721135,1821141751,439,80295278,156675751,-76380474,21486380,25368139,48363853,33505368,34879333,39789160,62544407,44286494,57625697,38015396,40387301,40521256,62843887,66733588,57014825,105714290,76392075,63340064,269681044,513629842,85945931,47010492,45561067,46446765
Australia,75,17782734,1340697469,474,63626858,122564199,-58937343,18831675,21850591,42934246,29827004,30696377,34215136,55611528,37715794,52604446,34412273,36176042,34896976,47446572,52644925,46302589,83564873,60919791,48707898,181675278,394603774,71645074,38900471,34970620,35890609
Austria,30,4340284,361850327,264,9540658,29515919,-19975261,2818397,4520374,5832968,6372935,10062337,6095637,15522594,13428539,7816089,8052753,9353109,5718173,3860429,4980972,4201960,9321415,10003734,14985244,18607137,14782590,9316885,11345239,15737155,16239120
Austria,50,4118613,354215031,278,9479720,27987462,-18507740,2801515,4492536,5792031,6334963,10010641,6070624,15443312,13375236,7783529,8007043,9317692,5686196,3815359,4924505,4176215,9259926,9931009,14894836,18470373,14694101,9250808,11243106,15624396,16113341
Austria,75,3397355,315041909,297,8896556,22955708,-14059150,2639491,4250545,5500626,6007236,9524562,5827187,14721852,12894827,7479220,7632501,8925977,5422682,3428870,4417604,3864230,8618555,9213031,13850647,16990031,13671767,8575995,10382354,14621985,15055593
Azerbaijan,30,1268606,68892420,208,102688,4353135,-4250447,165142,319691,335073,158080,67954,147994,144451,133122,109954,163045,43076,174782,43803,64768,5170,8249,22639,23997,4112,7822,36247,65522,152730,67105
Azerbaijan,50,1113388,63653574,222,95659,3891949,-3796290,153406,303400,324841,139543,60112,137150,134411,125808,99471,145102,38634,160528,40240,59838,5038,8001,22372,23997,3582,7530,34439,64617,141542,62213
Azerbaijan,75,819511,50693267,241,73951,2913403,-2839451,122032,235836,276399,98489,42677,108845,99499,97555,74971,104430,28715,114320,27266,38169,4875,7321,21024,19805,2278,5780,31357,57898,109772,45500
Bangladesh,30,1938958,174161109,451,6341158,19314139,-12972982,2569187,2132369,1150527,2221651,1832932,3714656,2127382,2406487,3077047,2470270,2278773,3085807,3418204,6833399,7242216,12336332,16716432,11266517,12778277,12428756,10535021,8289251,11274906,10001405
Bangladesh,50,1522871,146089133,475,6023474,17908689,-11885216,2542717,2092902,1129720,2154289,1800248,3610043,2048285,2323236,2982539,2383642,2211189,2997366,3227160,6454358,6787900,11600497,15804777,10572169,12089159,11727499,9946927,7802748,10718568,9555423
Bangladesh,75,685582,74513975,505,4123926,14993357,-10869432,2285156,1797668,965079,1677282,1548735,2889734,1589547,1806433,2321550,1792197,1785806,2434750,2150878,4215443,4433860,7575779,10423016,6743711,7755933,7519835,6416382,5010697,7308768,6525987
Belarus,30,9118583,435669121,206,17944990,64349173,-46404183,5007433,6925244,9224718,11515344,11120548,13168499,10320371,11616363,11874896,12236557,16012531,14166029,10028055,12209439,12237392,33321011,29592553,33405609,29058114,27661105,26159880,27191775,25483692,31142583
Belarus,50,8384055,427106444,230,17663153,59978337,-42315184,4953100,6830343,9094894,11397701,11019087,13052896,10233092,11539088,11791259,12163172,15923381,14075806,9885998,12055615,12045285,32428865,28863067,32448688,28475211,27171945,25805038,26813309,25124300,30724531
Belarus,75,5798098,329426741,271,13890114,42799704,-28909589,4420640,5944187,7793232,10012823,9796963,11590857,9155968,10490688,10747935,11090099,14551174,12841935,7660508,9655623,9593931,24188931,20202546,20306124,19890105,19882177,19664263,20997428,19201065,23683541
Belgium,30,865425,76114279,368,2779887,5662146,-2882258,424998,1096450,907259,2301053,1469665,3470613,3052387,3658524,2673404,5675384,2701125,3090068,1841304,2341941,1898962,2485458,2272095,2596945,3124914,3119756,5404048,2872891,4564032,3674053
Belgium,50,778289,72706046,411,2744538,5013615,-2269079,417437,1088628,898175,2276357,1449903,3444402,3028552,3628813,2650232,5634417,2686297,3075926,1826401,2318723,1876669,2439591,2226052,2542909,3054506,3059723,5332419,2814473,4492711,3605588
Belgium,75,576914,58762884,470,2480009,3608978,-1128969,355003,987253,822915,2062317,1298004,3140936,2805038,3329491,2446401,5197645,2549502,2952104,1714976,2130663,1685534,2151387,1962128,2225138,2615471,2657735,4779873,2484724,3987785,3178210
Belize,30,1755302,155427616,188,6405342,4931433,1473908,3485152,6139218,3094309,1915830,3690837,1971486,5241225,3924536,4706922,4620259,11808342,5428105,7861522,7770840,5854014,10121502,7675443,5290178,8598566,11858142,4499449,4084507,10073679,14014156
Belize,50,1667397,154205097,197,6352271,4699859,1652411,3469221,6089625,3076754,1899593,3671425,1957521,5207344,3905851,4688653,4604734,11773320,5409153,7828552,7707517,5806723,10057950,7535628,5214105,8398700,11794721,4446207,4036163,9950611,13924438
Belize,75,1575027,151317448,204,6192232,4294573,1897658,3405702,5908088,3003279,1843060,3571198,1904743,5046682,3830784,4600117,4530422,11641815,5334893,7715462,7516584,5674521,9865245,7124299,4991843,7977972,11616337,4291874,3901135,9621442,13696092
Benin,30,168201,9637617,220,866251,1804074,-937824,1167877,988659,1011878,184569,510576,513708,1489948,154163,1581156,169770,237805,1062645,503975,599702,271150,941806,959187,803021,339924,815004,1606324,1587060,1896145,1393969
Benin,50,8986,574344,255,314640,1265684,-951043,675108,419758,319798,43601,98203,122227,330594,36274,314543,41185,48795,256302,79559,149347,59927,199664,142375,136372,53412,223088,975695,958784,972441,894329
Benin,75,841,74189,274,229174,1249199,-1020025,201055,178201,108356,7773,27289,18512,68877,7928,72433,5911,9641,55058,69358,141265,56718,171466,126529,129163,50614,216573,968880,952369,965077,891113
Bhutan,30,2577237,356932855,667,632789,1558410,-925621,170405,128275,283425,610045,467911,361687,297023,440656,689714,2471316,585372,442246,254860,708688,387132,1091976,993780,589311,433791,705977,694378,703561,988622,686784
Bhutan,50,2366476,337457072,688,581124,1199761,-618636,163996,123305,260908,576568,444990,341967,282731,422033,662306,2286686,539991,415110,226282,656938,346564,989063,898842,516959,389454,633816,606694,635565,897631,628583
Bhutan,75,1664057,256407380,749,385744,339442,46305,134048,105362,166071,424984,347680,261750,207836,336368,534986,1466050,417253,333536,143369,449672,208161,589870,544706,288324,217063,382109,332104,372362,613625,380587
Bolivia,30,64556285,5429871838,365,157511154,177523106,-20011953,63768188,79813514,78909530,88552887,113865911,97631027,89498861,153620827,96069853,177535932,131536166,120352346,77542863,114524482,71376216,192737881,198614295,133084363,246068783,158918668,196891091,254657109,264836557,579860361
Bolivia,50,57513241,5267973696,418,152322576,147405287,4917288,62763465,78464155,77995867,86408960,111413416,95635378,88298232,148982131,93422671,173932722,128179239,117342724,73919465,110210545,67877408,184122068,190212156,126287984,232457494,152268077,188122218,243713286,255569725,568142434
Bolivia,75,47856733,4845242674,480,131880238,105778519,26101720,58687008,72904487,73699117,78861674,103349808,87758489,82529229,128923310,81245592,155856236,111265283,107390574,61414624,93873802,52939023,144878623,158157863,99243248,171030608,129841645,152417408,208052528,225515759,525289811
Bosnia and Herzegovina,30,2657980,216504615,235,815772,27664405,-26848634,501473,273222,119165,1661657,262728,245340,827391,654329,585932,457032,437798,969455,1049020,926893,300505,1278595,663282,1475387,716583,948580,567773,1076419,2237980,1341979
Bosnia and Herzegovina,50,2477206,210985877,247,790331,26121234,-25330903,489491,262176,114892,1613630,257436,238214,769373,625958,569164,447654,427823,926330,1008441,911698,293637,1254373,636530,1434930,701025,923440,550246,1038490,2164885,1308096
Bosnia and Herzegovina,75,2054728,187906082,268,687963,22156642,-21468679,420422,230541,100816,1391875,229858,210041,561153,506213,481138,393420,375590,773505,844887,827154,256926,1143315,559432,1298089,616775,820022,485491,900268,1914468,1169714
Botswana,30,20328,589049,120,4511,110698,-106187,26251,4062,1660,9593,8974,7806,7178,5162,8779,7014,4420,3438,3809,4053,51,218,318,685,18,445,572,1730,1020,1003
Botswana,50,1278,67196,222,854,41057,-40204,9764,554,230,962,501,911,1750,1008,583,321,104,225,387,375,51,32,30,51,0,79,282,1292,371,637
Botswana,75,22,1964,173,260,36522,-36261,1578,328,77,299,202,76,366,10,122,65,50,16,270,179,51,32,30,0,0,35,282,1274,343,558
Brazil,30,519056656,55568867372,525,1589982066,1755323094,-165341031,1221138974,1655445015,1514612804,1915734936,1837203777,1471021700,1273228936,1241345048,930771045,1337904984,989479015,1458966082,988672290,1422902204,1244682472,2631722303,2334531068,1718707376,1532889289,1680953959,1868490743,2082946160,1693710500,2112508857
Brazil,50,475559754,54293608200,575,1505721197,1517136228,-11415031,1184451099,1613958947,1465348864,1859166990,1791766260,1419225449,1214014249,1182877717,877898840,1260765421,932268925,1359808662,919681491,1319206112,1156990165,2501097566,2211695920,1618771276,1432037578,1567852802,1759138440,1954310676,1539605940,1995369380
Brazil,75,429108384,52407542011,620,1365227645,1260280442,104947202,1091706988,1509434968,1357926863,1740892922,1687344784,1322242315,1100270606,1085014883,795961739,1135921195,841711541,1201101189,811964884,1150870704,1016013040,2284492097,1986044958,1454139425,1277977132,1388984412,1598470513,1770381682,1336264832,1820329804
Brunei,30,529333,79494242,573,893028,1182322,-289294,823190,731591,533836,800676,839874,675394,978208,929243,1416206,687134,1960883,1278920,600225,1441070,1094465,1629001,646544,526336,706138,737967,634880,609429,599126,552345
Brunei,50,523730,79214814,579,884479,1155040,-270561,819203,729358,531411,798384,837387,672065,972900,926870,1413347,685526,1956823,1274787,595942,1422662,1071043,1595182,638687,518036,688035,720914,629199,602439,589845,537445
Brunei,75,507839,78221398,593,843299,1081263,-237963,791444,709583,514265,780988,811355,653277,942484,908045,1386757,670584,1934674,1249971,577232,1357886,934077,1424268,606500,488517,612554,651554,604652,575463,560856,492192
Bulgaria,30,4138949,250132617,283,2563764,39613937,-37050173,2110235,1287763,1710602,2759951,2411821,1860207,3350101,2475583,2370292,1482068,1399266,3962712,1568488,2971751,3325135,3509366,3456949,4703441,2005999,2304900,3281640,2046166,2843078,2332837
Bulgaria,50,3858692,243267038,299,2512417,37201110,-34688693,2064514,1260823,1687344,2725933,2391752,1836748,3309629,2438098,2351297,1472550,1381732,3926559,1542347,2922932,3264048,3431263,3333674,4578805,1953527,2233197,3217330,1979503,2755656,2238750
Bulgaria,75,3198281,214674703,321,2235712,31346506,-29110792,1835645,1137194,1545707,2537517,2253562,1703034,3065689,2222277,2219250,1414076,1301267,3722114,1354444,2586219,2856596,3004056,2810343,3959354,1677101,1877204,2822318,1622650,2295261,1834212
Burkina Faso,30,130,6363,206,36205,628363,-592157,286271,164809,798,35839,25598,6347,9114,20973,5189,19866,8423,4636,8312,10479,3276,1472,2345,1099,995,7470,43860,51680,57935,92147
Burkina Faso,50,5,313,116,34809,628303,-593494,271131,163692,418,33904,21564,5299,8296,19610,3883,17905,4156,4546,8241,10479,3276,1472,2345,1099,995,7470,43860,51680,57935,92147
