country,threshold,driver,year,tc_loss_ha
Afghanistan,30,Hard commodities,2014,0
Afghanistan,30,Logging,2001,3
Afghanistan,30,Logging,2002,64
Afghanistan,30,Logging,2003,73
Afghanistan,30,Logging,2004,143
Afghanistan,30,Logging,2005,142
Afghanistan,30,Logging,2006,102
Afghanistan,30,Logging,2007,182
Afghanistan,30,Logging,2008,67
Afghanistan,30,Logging,2009,33
Afghanistan,30,Logging,2010,67
Afghanistan,30,Logging,2011,41
Afghanistan,30,Logging,2012,11
Afghanistan,30,Logging,2013,0
Afghanistan,30,Logging,2014,1
Afghanistan,30,Logging,2018,24
Afghanistan,30,Logging,2019,8
Afghanistan,30,Logging,2020,31
Afghanistan,30,Logging,2021,23
Afghanistan,30,Logging,2022,5
Afghanistan,30,Logging,2023,6
Afghanistan,30,Logging,2024,2
Afghanistan,30,Other natural disturbances,2001,2
Afghanistan,30,Other natural disturbances,2002,3
Afghanistan,30,Other natural disturbances,2003,1
Afghanistan,30,Other natural disturbances,2004,1
Afghanistan,30,Other natural disturbances,2005,4
Afghanistan,30,Other natural disturbances,2006,0
Afghanistan,30,Other natural disturbances,2007,0
Afghanistan,30,Other natural disturbances,2008,2
Afghanistan,30,Other natural disturbances,2009,0
Afghanistan,30,Other natural disturbances,2010,0
Afghanistan,30,Other natural disturbances,2011,1
Afghanistan,30,Other natural disturbances,2012,0
Afghanistan,30,Other natural disturbances,2019,1
Afghanistan,30,Other natural disturbances,2023,0
Afghanistan,30,Other natural disturbances,2024,0
Afghanistan,30,Permanent agriculture,2001,63
Afghanistan,30,Permanent agriculture,2002,49
Afghanistan,30,Permanent agriculture,2003,11
Afghanistan,30,Permanent agriculture,2004,24
Afghanistan,30,Permanent agriculture,2005,12
Afghanistan,30,Permanent agriculture,2006,10
Afghanistan,30,Permanent agriculture,2007,9
Afghanistan,30,Permanent agriculture,2008,7
Afghanistan,30,Permanent agriculture,2009,8
Afghanistan,30,Permanent agriculture,2010,4
Afghanistan,30,Permanent agriculture,2011,4
Afghanistan,30,Permanent agriculture,2012,10
Afghanistan,30,Permanent agriculture,2013,0
Afghanistan,30,Permanent agriculture,2014,0
Afghanistan,30,Permanent agriculture,2019,0
Afghanistan,30,Permanent agriculture,2021,0
Afghanistan,30,Permanent agriculture,2022,0
Afghanistan,30,Permanent agriculture,2023,0
Afghanistan,30,Permanent agriculture,2024,0
Afghanistan,30,Settlements & Infrastructure,2023,0
Afghanistan,30,Settlements & Infrastructure,2024,0
Afghanistan,30,Wildfire,2001,1
Afghanistan,30,Wildfire,2002,34
Afghanistan,30,Wildfire,2003,134
Afghanistan,30,Wildfire,2004,13
Afghanistan,30,Wildfire,2005,51
Afghanistan,30,Wildfire,2006,23
Afghanistan,30,Wildfire,2007,36
Afghanistan,30,Wildfire,2008,19
Afghanistan,30,Wildfire,2009,12
Afghanistan,30,Wildfire,2010,6
Afghanistan,30,Wildfire,2011,53
Afghanistan,30,Wildfire,2012,5
