country,threshold,area__ha,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Angola,30,2458061,3499,2963,2354,3110,1400,8060,2699,5342,5225,4257,5594,9263,10988,8998,12040,11166,13507,9995,8895,24326,15576,17627,13660
Argentina,30,4418724,9318,14459,28090,31429,24095,18687,47067,20819,31328,17365,24808,56681,19308,10547,15247,17202,9496,8983,20847,11921,21388,11473,12103
Australia,30,13977,0,0,0,0,25,0,0,2,0,1,2,21,7,5,0,0,0,5,0,0,0,0,0
Bangladesh,30,101114,619,266,347,306,677,369,240,557,235,262,326,187,458,205,345,414,358,387,459,308,307,743,467
Belize,30,1165487,5570,2993,2108,3206,1899,4140,3632,4407,4808,16295,6799,8451,9031,6606,11511,6616,4781,8772,16087,4560,4033,11667,21137
Benin,30,1952,0,0,0,0,0,0,0,1,4,0,13,1,0,2,1,1,0,2,0,0,0,0,0
Bhutan,30,1645545,119,84,337,315,256,186,319,453,818,379,314,191,462,278,703,790,406,294,472,399,513,658,449
Bolivia,30,40850721,70494,77076,96581,137883,118782,114368,180543,108155,267662,162698,148305,82243,133075,83291,245876,270242,154537,290650,276102,292264,384708,490542,1480900
Brazil,30,343260979,1621738,1570540,2016350,1824217,1415536,1149515,1075087,700115,1152945,802919,1116048,632076,940789,828839,2830943,2134474,1347176,1361053,1703491,1546964,1772214,1136250,2823646
Brunei,30,431532,474,379,584,602,442,639,760,1242,524,1661,1118,608,1380,806,1089,518,449,447,543,516,537,496,383
Burundi,30,24895,3,51,2,15,5,13,18,13,13,7,4,10,47,16,27,13,33,13,26,14,4,8,9
Cambodia,30,4325701,18579,24060,44084,35978,43268,35528,48730,65249,124807,124153,115198,123205,89479,70684,94024,53817,45519,62898,62305,63979,45382,48257,36885
Cameroon,30,19082102,10611,9967,9049,11078,14845,18347,15037,19722,26814,13505,25416,42764,89176,40994,58602,89782,57935,54421,100294,88755,76311,102887,95573
Central African Republic,30,7364402,7005,3025,4096,5466,5684,8400,5292,8869,11148,9501,10780,6481,8935,5064,20129,15442,7741,11530,14741,19709,13242,13985,11947
China,30,1760102,1823,1590,3421,3075,4804,7513,4076,7281,5128,5029,7910,5568,5130,3645,3709,2380,1458,1363,1138,1212,1533,1884,2630
Colombia,30,54899530,63279,32062,81732,58905,56033,95557,83586,65773,68729,72571,69565,57692,80027,49639,108555,161904,176903,115137,166517,128570,128435,66121,98219
Costa Rica,30,1489050,752,590,603,869,715,846,1314,1997,1105,995,758,760,955,220,1588,7665,1709,1432,1278,1059,1156,1373,1361
Côte d'Ivoire,30,1364751,24188,16575,11229,6010,16773,17325,12553,14684,17377,29760,23108,18874,36145,15595,16913,20423,25673,11651,12960,6616,8585,6864,7625
Cuba,30,440562,2957,201,651,1023,467,464,1204,758,125,310,244,68,59,155,302,28907,2551,89,305,349,271,692,1646
Democratic Republic of the Congo,30,104595509,168992,78138,123521,149894,146457,154990,121474,218277,265180,148639,211233,351217,439347,322814,499562,471868,481248,475245,490613,499059,512676,526168,589811
Dominican Republic,30,318332,451,460,1065,4977,535,955,1557,788,678,581,1568,262,740,1821,2866,1574,293,510,1850,593,507,1275,601
Ecuador,30,10662455,5707,3385,5446,6210,6448,7010,8967,8138,8505,11186,16376,11605,6335,8487,13211,21129,13235,12255,19760,12510,21027,14305,21157
El Salvador,30,52839,52,9,77,31,47,47,30,50,63,71,40,16,25,38,412,128,79,62,89,32,46,31,43
Equatorial Guinea,30,2249642,1138,960,210,900,761,1526,2312,3136,3211,3709,2291,4064,10678,4050,5046,6467,4036,4276,1977,3714,3900,4006,3722
Ethiopia,30,1906097,1569,2542,2729,2302,2562,5518,3590,3993,3455,2652,5076,6608,5632,1200,2873,7630,3798,7379,4603,4349,4004,12459,5876
Fiji,30,534683,19,53,231,153,168,127,121,102,187,54,72,453,244,118,3094,565,199,76,166,1069,142,86,47
French Guiana,30,7854982,1628,1267,3268,2028,1943,2421,3723,2088,2428,2153,7425,1989,2813,1945,3921,2739,2616,2270,3135,1678,2827,3230,3244
Gabon,30,22683195,7001,10674,5698,10815,10494,10584,9314,11765,6237,8688,9507,25802,29148,15816,18885,22915,12250,13815,10628,8858,14510,10310,15464
Ghana,30,1091345,4435,1872,1581,3402,3647,3013,2669,3536,1644,2751,2478,5089,7429,3616,13747,7683,12284,5819,14270,10699,17972,12745,13905
Guadeloupe,30,37068,2,3,8,6,2,4,4,5,11,3,11,2,1,4,0,3,8,5,2,2,3,3,1
Guatemala,30,2583771,16077,24301,17264,33396,18318,46799,29715,37509,22683,17185,27752,19874,18245,16753,63256,22047,18309,30338,39449,15167,12200,21019,70684
Guinea,30,235943,1100,287,552,270,235,1035,540,378,332,399,589,1029,754,1136,1542,1675,1138,1056,1299,798,944,647,909
Guinea-Bissau,30,81741,137,14,75,76,48,65,68,138,138,148,110,476,447,407,527,504,451,372,507,349,380,289,268
Guyana,30,17297907,2824,4216,2630,3578,3744,3346,6376,4928,6655,5831,8942,4511,7789,8462,16688,13504,7627,12963,10763,7088,7883,17167,64433
Haiti,30,9193,17,14,52,36,21,38,41,24,12,28,48,14,10,20,2031,379,27,34,16,131,14,55,42
Honduras,30,2154615,7343,8855,7114,14157,14165,12660,14679,22179,21406,20322,10008,16969,22265,15366,46023,37700,32644,32910,41687,36600,30126,43764,40365
